place,id,lat,long
Oslo,https://www.geonames.org/3143244/,59.91273,10.74609
Løten,https://www.geonames.org/9063178/,60.3068,4.92803
Paris,https://www.geonames.org/2988507,48.85341,2.3488
Gardermoen,https://www.geonames.org/3156087/,60.21667,11.1
Helgelandsmoen,https://www.geonames.org/3153186/,60.1,10.23333
Le Havre,https://www.geonames.org/3003796,49.49346,0.10785
Hankø,https://www.geonames.org/3153933,59.2,10.78333N
Saint-Cloud,https://www.geonames.org/2981041,48.84598,2.20289
Nice,https://www.geonames.org/2990440/,43.70313,7.26608
Berlin,https://www.geonames.org/2950159/,52.52437,13.41053
Dresden,https://www.geonames.org/2935022/,51.05089,13.73832
Stockholm,https://www.geonames.org/2673730/,59.32938,18.06871
Lübeck,https://www.geonames.org/2875601/,53.86893,10.68729
Leipzig,https://www.geonames.org/2879139/,51.33962,12.37129
Weimar,https://www.geonames.org/2812482/,50.9803,11.32903
Åsgårdstrand,https://www.geonames.org/3162682/,59.34938,10.46948
Travemünde,https://www.geonames.org/2821480/,53.96304,10.8709
Praha,https://www.geonames.org/3067696/,50.08804,14.42076
Thüringen,https://www.geonames.org/2822542/,50.91667,11
Bad Elgersburg,https://www.geonames.org/2931171/,50.70603,10.8531
Warnemünde,https://www.geonames.org/2814055/,54.1767,12.08402N
København,https://www.geonames.org/2618425/,55.67594,12.56553
Kragerø,https://www.geonames.org/3149412/,58.8693,9.41494
Hvitsten,https://www.geonames.org/3151289/,59.59863,10.65545
Roma,https://www.geonames.org/3169070/,41.89193,12.51133
Göteborg,https://www.geonames.org/2711537/,57.70716,11.96679
Zürich,https://www.geonames.org/2657896/,47.36667,8.55
Hamburg,https://www.geonames.org/2911298/,53.55073,9.99302
Chemnitz,https://www.geonames.org/2940132/,50.8357,12.92922
Bad Kösen,https://www.geonames.org/2953418/,51.13431,11.72203
Halden,https://www.geonames.org/3154209/,59.12478,11.38754N
Ilmenau,https://www.geonames.org/2896514/,50.68322,10.91858
Wiesbaden,https://www.geonames.org/2809346/,50.08258,8.24932
Vestre Aker,https://www.geonames.org/6940980/,59.95002,10.67219
Verdun,https://www.geonames.org/2969958/,49.15964,5.3829N
